Timestamp,PowerAmountKW,IoTHubTypeIdentifier
01/01/1970 00:45,8.892,PowerTelemetry
01/01/1970 00:46,8.488,PowerTelemetry
01/01/1970 00:47,9.317,PowerTelemetry
01/01/1970 00:48,8.917,PowerTelemetry
01/01/1970 00:49,3.468,PowerTelemetry
01/01/1970 00:50,4.968,PowerTelemetry
01/01/1970 00:51,8.372,PowerTelemetry
01/01/1970 00:52,5.246,PowerTelemetry
01/01/1970 00:53,2.647,PowerTelemetry
01/01/1970 00:54,8.07,PowerTelemetry
01/01/1970 00:55,6.346,PowerTelemetry
01/01/1970 00:56,4.67,PowerTelemetry
01/01/1970 00:57,4.676,PowerTelemetry
01/01/1970 00:58,0.061,PowerTelemetry
01/01/1970 00:59,6.189,PowerTelemetry
01/01/1970 01:00,2.944,PowerTelemetry
01/01/1970 01:01,5.267,PowerTelemetry
01/01/1970 01:02,7.051,PowerTelemetry
01/01/1970 01:03,5.249,PowerTelemetry
01/01/1970 01:04,5.358,PowerTelemetry
01/01/1970 01:05,8.644,PowerTelemetry
01/01/1970 01:06,0.422,PowerTelemetry
01/01/1970 01:07,8.647,PowerTelemetry
01/01/1970 01:08,4.589,PowerTelemetry
01/01/1970 01:09,8.861,PowerTelemetry
01/01/1970 01:10,5.599,PowerTelemetry
01/01/1970 01:11,0.021,PowerTelemetry
01/01/1970 01:12,1.196,PowerTelemetry
01/01/1970 01:13,4.839,PowerTelemetry
01/01/1970 01:14,6.392,PowerTelemetry
01/01/1970 01:15,2.683,PowerTelemetry
01/01/1970 01:16,4.904,PowerTelemetry
01/01/1970 01:17,8.057,PowerTelemetry
01/01/1970 01:18,5.261,PowerTelemetry
01/01/1970 01:19,5.691,PowerTelemetry
01/01/1970 01:20,3.967,PowerTelemetry
01/01/1970 01:21,9.442,PowerTelemetry
01/01/1970 01:22,3.775,PowerTelemetry
01/01/1970 01:23,8.448,PowerTelemetry
01/01/1970 01:24,0.057,PowerTelemetry
01/01/1970 01:25,4.716,PowerTelemetry
01/01/1970 01:26,0.551,PowerTelemetry
01/01/1970 01:27,3.714,PowerTelemetry
01/01/1970 01:28,4.892,PowerTelemetry
01/01/1970 01:29,2.992,PowerTelemetry
01/01/1970 01:30,9.961,PowerTelemetry
01/01/1970 01:31,5.567,PowerTelemetry
01/01/1970 01:32,3.463,PowerTelemetry
01/01/1970 01:33,3.326,PowerTelemetry
01/01/1970 01:34,0.424,PowerTelemetry
01/01/1970 01:35,6.256,PowerTelemetry
01/01/1970 01:36,3.161,PowerTelemetry
01/01/1970 01:37,5.477,PowerTelemetry
01/01/1970 01:38,0.322,PowerTelemetry
01/01/1970 01:39,8.459,PowerTelemetry
01/01/1970 01:40,0.707,PowerTelemetry
01/01/1970 01:41,7.192,PowerTelemetry
01/01/1970 01:42,3.791,PowerTelemetry
01/01/1970 01:43,1.177,PowerTelemetry
01/01/1970 01:44,3.753,PowerTelemetry
01/01/1970 01:45,1.84,PowerTelemetry
01/01/1970 01:46,5.921,PowerTelemetry
01/01/1970 01:47,8.876,PowerTelemetry
01/01/1970 01:48,2.309,PowerTelemetry
01/01/1970 01:49,3.129,PowerTelemetry
01/01/1970 01:50,6.072,PowerTelemetry
01/01/1970 01:51,7.266,PowerTelemetry
01/01/1970 01:52,1.324,PowerTelemetry
01/01/1970 01:53,2.365,PowerTelemetry
01/01/1970 01:54,4.687,PowerTelemetry
01/01/1970 01:55,0.081,PowerTelemetry
01/01/1970 01:56,3.014,PowerTelemetry
01/01/1970 01:57,0.008,PowerTelemetry
01/01/1970 01:58,1.345,PowerTelemetry
01/01/1970 01:59,9.531,PowerTelemetry
01/01/1970 02:00,4.949,PowerTelemetry
01/01/1970 02:01,4.984,PowerTelemetry
01/01/1970 02:02,2.424,PowerTelemetry
01/01/1970 02:03,7.978,PowerTelemetry
01/01/1970 02:04,1.789,PowerTelemetry
01/01/1970 02:05,7.805,PowerTelemetry
01/01/1970 02:06,1.87,PowerTelemetry
01/01/1970 02:07,3.067,PowerTelemetry
01/01/1970 02:08,6.907,PowerTelemetry
01/01/1970 02:09,1.421,PowerTelemetry
01/01/1970 02:10,2.577,PowerTelemetry
01/01/1970 02:11,9.307,PowerTelemetry
01/01/1970 02:12,9.536,PowerTelemetry
01/01/1970 02:13,2.447,PowerTelemetry
01/01/1970 02:14,6.863,PowerTelemetry
01/01/1970 02:15,6.913,PowerTelemetry
01/01/1970 02:16,5.281,PowerTelemetry
01/01/1970 02:17,7.178,PowerTelemetry
01/01/1970 02:18,5.004,PowerTelemetry
01/01/1970 02:19,1.489,PowerTelemetry
01/01/1970 02:20,2.908,PowerTelemetry
01/01/1970 02:21,5.759,PowerTelemetry
01/01/1970 02:22,5.19,PowerTelemetry
01/01/1970 02:23,6.897,PowerTelemetry
01/01/1970 02:24,0.308,PowerTelemetry
01/01/1970 02:25,5.286,PowerTelemetry
01/01/1970 02:26,5.471,PowerTelemetry
01/01/1970 02:27,8.234,PowerTelemetry
01/01/1970 02:28,3.697,PowerTelemetry
01/01/1970 02:29,7.405,PowerTelemetry
01/01/1970 02:30,7.417,PowerTelemetry
01/01/1970 02:31,6.119,PowerTelemetry
01/01/1970 02:32,7.741,PowerTelemetry
01/01/1970 02:33,4.526,PowerTelemetry
01/01/1970 02:34,9.569,PowerTelemetry
01/01/1970 02:35,7.506,PowerTelemetry
01/01/1970 02:36,3.8,PowerTelemetry
01/01/1970 02:37,0.624,PowerTelemetry
01/01/1970 02:38,9.039,PowerTelemetry
01/01/1970 02:39,3.19,PowerTelemetry
01/01/1970 02:40,8.023,PowerTelemetry
01/01/1970 02:41,1.725,PowerTelemetry
01/01/1970 02:42,8.101,PowerTelemetry
01/01/1970 02:43,1.259,PowerTelemetry
01/01/1970 02:44,1.487,PowerTelemetry
01/01/1970 02:45,0.048,PowerTelemetry
01/01/1970 02:46,8.628,PowerTelemetry
01/01/1970 02:47,9.729,PowerTelemetry
01/01/1970 02:48,7.936,PowerTelemetry
01/01/1970 02:49,6.826,PowerTelemetry
01/01/1970 02:50,8.928,PowerTelemetry
01/01/1970 02:51,5.416,PowerTelemetry
01/01/1970 02:52,1.081,PowerTelemetry
01/01/1970 02:53,1.487,PowerTelemetry
01/01/1970 02:54,2.042,PowerTelemetry
01/01/1970 02:55,3.772,PowerTelemetry
01/01/1970 02:56,8.103,PowerTelemetry
01/01/1970 02:57,5.366,PowerTelemetry
01/01/1970 02:58,9.133,PowerTelemetry
01/01/1970 02:59,2.727,PowerTelemetry
01/01/1970 03:00,0.328,PowerTelemetry
01/01/1970 03:01,9.581,PowerTelemetry
01/01/1970 03:02,1.574,PowerTelemetry
01/01/1970 03:03,9.469,PowerTelemetry
01/01/1970 03:04,4.276,PowerTelemetry
01/01/1970 03:05,2.801,PowerTelemetry
01/01/1970 03:06,3.348,PowerTelemetry
01/01/1970 03:07,5.961,PowerTelemetry
01/01/1970 03:08,7.905,PowerTelemetry
01/01/1970 03:09,7.716,PowerTelemetry
01/01/1970 03:10,2.826,PowerTelemetry
01/01/1970 03:11,2.536,PowerTelemetry
01/01/1970 03:12,3.99,PowerTelemetry
01/01/1970 03:13,2.869,PowerTelemetry
01/01/1970 03:14,2.889,PowerTelemetry
01/01/1970 03:15,1.852,PowerTelemetry
01/01/1970 03:16,6.354,PowerTelemetry
01/01/1970 03:17,7.302,PowerTelemetry
01/01/1970 03:18,4.726,PowerTelemetry
01/01/1970 03:19,1.582,PowerTelemetry
01/01/1970 03:20,4.234,PowerTelemetry
01/01/1970 03:21,8.41,PowerTelemetry
01/01/1970 03:22,1.486,PowerTelemetry
01/01/1970 03:23,4.985,PowerTelemetry
01/01/1970 03:24,8.718,PowerTelemetry
01/01/1970 03:25,4.988,PowerTelemetry
01/01/1970 03:26,3.139,PowerTelemetry
01/01/1970 03:27,6.184,PowerTelemetry
01/01/1970 03:28,6.514,PowerTelemetry
01/01/1970 03:29,6.267,PowerTelemetry
01/01/1970 03:30,4.313,PowerTelemetry
01/01/1970 03:31,8.63,PowerTelemetry
01/01/1970 03:32,3.424,PowerTelemetry
01/01/1970 03:33,5.374,PowerTelemetry
01/01/1970 03:34,6.829,PowerTelemetry
01/01/1970 03:35,7.798,PowerTelemetry
01/01/1970 03:36,7.945,PowerTelemetry
01/01/1970 03:37,9.318,PowerTelemetry
01/01/1970 03:38,9.058,PowerTelemetry
01/01/1970 03:39,3.821,PowerTelemetry
01/01/1970 03:40,1.37,PowerTelemetry
01/01/1970 03:41,1.494,PowerTelemetry
01/01/1970 03:42,9.349,PowerTelemetry
01/01/1970 03:43,0.733,PowerTelemetry
01/01/1970 03:44,6.374,PowerTelemetry
01/01/1970 03:45,8.394,PowerTelemetry
01/01/1970 03:46,3.79,PowerTelemetry
01/01/1970 03:47,3.58,PowerTelemetry
01/01/1970 03:48,5.117,PowerTelemetry
01/01/1970 03:49,1.28,PowerTelemetry
01/01/1970 03:50,9.576,PowerTelemetry
01/01/1970 03:51,8.991,PowerTelemetry
01/01/1970 03:52,9.563,PowerTelemetry
01/01/1970 03:53,6.303,PowerTelemetry
01/01/1970 03:54,6.044,PowerTelemetry
01/01/1970 03:55,4.607,PowerTelemetry
01/01/1970 03:56,7.505,PowerTelemetry
01/01/1970 03:57,3.255,PowerTelemetry
01/01/1970 03:58,8.752,PowerTelemetry
01/01/1970 03:59,1.774,PowerTelemetry
01/01/1970 04:00,0.355,PowerTelemetry
01/01/1970 04:01,0.447,PowerTelemetry
01/01/1970 04:02,6.684,PowerTelemetry
01/01/1970 04:03,3.996,PowerTelemetry
01/01/1970 04:04,9.647,PowerTelemetry
01/01/1970 04:05,8.164,PowerTelemetry
01/01/1970 04:06,8.036,PowerTelemetry
01/01/1970 04:07,9.118,PowerTelemetry
01/01/1970 04:08,9.37,PowerTelemetry
01/01/1970 04:09,4.718,PowerTelemetry
01/01/1970 04:10,5.017,PowerTelemetry
01/01/1970 04:11,4.892,PowerTelemetry
01/01/1970 04:12,0.571,PowerTelemetry
01/01/1970 04:13,1.017,PowerTelemetry
01/01/1970 04:14,5.092,PowerTelemetry
01/01/1970 04:15,4.147,PowerTelemetry
01/01/1970 04:16,2.484,PowerTelemetry
01/01/1970 04:17,2.098,PowerTelemetry
01/01/1970 04:18,6.838,PowerTelemetry
01/01/1970 04:19,2.594,PowerTelemetry
01/01/1970 04:20,7.751,PowerTelemetry
01/01/1970 04:21,5.098,PowerTelemetry
01/01/1970 04:22,6.659,PowerTelemetry
01/01/1970 04:23,3.205,PowerTelemetry
01/01/1970 04:24,8.948,PowerTelemetry
01/01/1970 04:25,8.377,PowerTelemetry
01/01/1970 04:26,0.745,PowerTelemetry
01/01/1970 04:27,1.757,PowerTelemetry
01/01/1970 04:28,3.467,PowerTelemetry
01/01/1970 04:29,1.951,PowerTelemetry
01/01/1970 04:30,9.866,PowerTelemetry
01/01/1970 04:31,4.985,PowerTelemetry
01/01/1970 04:32,2.794,PowerTelemetry
01/01/1970 04:33,8.646,PowerTelemetry
01/01/1970 04:34,4.383,PowerTelemetry
01/01/1970 04:35,8.982,PowerTelemetry
01/01/1970 04:36,4.299,PowerTelemetry
01/01/1970 04:37,2.939,PowerTelemetry
01/01/1970 04:38,5.738,PowerTelemetry
01/01/1970 04:39,8.061,PowerTelemetry
01/01/1970 04:40,8.913,PowerTelemetry
01/01/1970 04:41,0.225,PowerTelemetry
01/01/1970 04:42,7.033,PowerTelemetry
01/01/1970 04:43,5.838,PowerTelemetry
01/01/1970 04:44,1.245,PowerTelemetry
01/01/1970 04:45,9.781,PowerTelemetry
01/01/1970 04:46,1.129,PowerTelemetry
01/01/1970 04:47,3.309,PowerTelemetry
01/01/1970 04:48,9.637,PowerTelemetry
01/01/1970 04:49,8.656,PowerTelemetry
01/01/1970 04:50,6.325,PowerTelemetry
01/01/1970 04:51,7.116,PowerTelemetry
01/01/1970 04:52,7.491,PowerTelemetry
01/01/1970 04:53,5.339,PowerTelemetry
01/01/1970 04:54,3.39,PowerTelemetry
01/01/1970 04:55,1.355,PowerTelemetry
01/01/1970 04:56,6.284,PowerTelemetry
01/01/1970 04:57,9.987,PowerTelemetry
01/01/1970 04:58,7.627,PowerTelemetry
01/01/1970 04:59,2.553,PowerTelemetry
01/01/1970 05:00,9.896,PowerTelemetry
01/01/1970 05:01,9.405,PowerTelemetry
01/01/1970 05:02,2.773,PowerTelemetry
01/01/1970 05:03,5.176,PowerTelemetry
01/01/1970 05:04,0.633,PowerTelemetry
01/01/1970 05:05,8.52,PowerTelemetry
01/01/1970 05:06,5.962,PowerTelemetry
01/01/1970 05:07,5.474,PowerTelemetry
01/01/1970 05:08,5.077,PowerTelemetry
01/01/1970 05:09,6.832,PowerTelemetry
01/01/1970 05:10,9.214,PowerTelemetry
01/01/1970 05:11,8.707,PowerTelemetry
01/01/1970 05:12,1.665,PowerTelemetry
01/01/1970 05:13,0.479,PowerTelemetry
01/01/1970 05:14,3.802,PowerTelemetry
01/01/1970 05:15,7.466,PowerTelemetry
01/01/1970 05:16,7.437,PowerTelemetry
01/01/1970 05:17,6.677,PowerTelemetry
01/01/1970 05:18,2.855,PowerTelemetry
01/01/1970 05:19,7.205,PowerTelemetry
01/01/1970 05:20,7.702,PowerTelemetry
01/01/1970 05:21,9.781,PowerTelemetry
01/01/1970 05:22,9.118,PowerTelemetry
01/01/1970 05:23,7.592,PowerTelemetry
01/01/1970 05:24,3.843,PowerTelemetry
01/01/1970 05:25,7.561,PowerTelemetry
01/01/1970 05:26,3.008,PowerTelemetry
01/01/1970 05:27,4.255,PowerTelemetry
01/01/1970 05:28,3.948,PowerTelemetry
01/01/1970 05:29,4.809,PowerTelemetry
01/01/1970 05:30,7.788,PowerTelemetry
01/01/1970 05:31,9.537,PowerTelemetry
01/01/1970 05:32,2.783,PowerTelemetry
01/01/1970 05:33,1.843,PowerTelemetry
01/01/1970 05:34,8.849,PowerTelemetry
01/01/1970 05:35,3.233,PowerTelemetry
01/01/1970 05:36,7.31,PowerTelemetry
01/01/1970 05:37,1.653,PowerTelemetry
01/01/1970 05:38,6.871,PowerTelemetry
01/01/1970 05:39,9.732,PowerTelemetry
01/01/1970 05:40,1.054,PowerTelemetry
01/01/1970 05:41,6.452,PowerTelemetry
01/01/1970 05:42,3.947,PowerTelemetry
01/01/1970 05:43,9.792,PowerTelemetry
01/01/1970 05:44,2.169,PowerTelemetry
01/01/1970 05:45,7.391,PowerTelemetry
01/01/1970 05:46,4.195,PowerTelemetry
01/01/1970 05:47,3.088,PowerTelemetry
01/01/1970 05:48,9.687,PowerTelemetry
01/01/1970 05:49,2.383,PowerTelemetry
01/01/1970 05:50,4.827,PowerTelemetry
01/01/1970 05:51,3.969,PowerTelemetry
01/01/1970 05:52,4.682,PowerTelemetry
01/01/1970 05:53,8.564,PowerTelemetry
01/01/1970 05:54,7.664,PowerTelemetry
01/01/1970 05:55,3.538,PowerTelemetry
01/01/1970 05:56,1.627,PowerTelemetry
01/01/1970 05:57,4.225,PowerTelemetry
01/01/1970 05:58,4.932,PowerTelemetry
01/01/1970 05:59,0.289,PowerTelemetry
01/01/1970 06:00,5.092,PowerTelemetry
01/01/1970 06:01,4.2,PowerTelemetry
01/01/1970 06:02,5.751,PowerTelemetry
01/01/1970 06:03,7.158,PowerTelemetry
01/01/1970 06:04,0.455,PowerTelemetry
01/01/1970 06:05,9.454,PowerTelemetry
01/01/1970 06:06,1.515,PowerTelemetry
01/01/1970 06:07,1.057,PowerTelemetry
01/01/1970 06:08,7.293,PowerTelemetry
01/01/1970 06:09,2.565,PowerTelemetry
01/01/1970 06:10,5.054,PowerTelemetry
01/01/1970 06:11,3.143,PowerTelemetry
01/01/1970 06:12,4.864,PowerTelemetry
01/01/1970 06:13,6.838,PowerTelemetry
01/01/1970 06:14,8.536,PowerTelemetry
01/01/1970 06:15,5.647,PowerTelemetry
01/01/1970 06:16,7.847,PowerTelemetry
01/01/1970 06:17,1.281,PowerTelemetry
01/01/1970 06:18,9.408,PowerTelemetry
01/01/1970 06:19,3.128,PowerTelemetry
01/01/1970 06:20,0.93,PowerTelemetry
01/01/1970 06:21,8.503,PowerTelemetry
01/01/1970 06:22,7.662,PowerTelemetry
01/01/1970 06:23,2.865,PowerTelemetry
01/01/1970 06:24,1.334,PowerTelemetry
01/01/1970 06:25,0.777,PowerTelemetry
01/01/1970 06:26,2.862,PowerTelemetry
01/01/1970 06:27,0.263,PowerTelemetry
01/01/1970 06:28,1.057,PowerTelemetry
01/01/1970 06:29,5.463,PowerTelemetry
01/01/1970 06:30,5.9,PowerTelemetry
01/01/1970 06:31,6.933,PowerTelemetry
01/01/1970 06:32,4.187,PowerTelemetry
01/01/1970 06:33,9.039,PowerTelemetry
01/01/1970 06:34,5.228,PowerTelemetry
01/01/1970 06:35,7.399,PowerTelemetry
01/01/1970 06:36,4.765,PowerTelemetry
01/01/1970 06:37,4.474,PowerTelemetry
01/01/1970 06:38,7.214,PowerTelemetry
01/01/1970 06:39,3.007,PowerTelemetry
01/01/1970 06:40,4.715,PowerTelemetry
01/01/1970 06:41,1.193,PowerTelemetry
01/01/1970 06:42,6.261,PowerTelemetry
01/01/1970 06:43,2.135,PowerTelemetry
01/01/1970 06:44,5.557,PowerTelemetry
01/01/1970 06:45,3.498,PowerTelemetry
01/01/1970 06:46,4.643,PowerTelemetry
01/01/1970 06:47,8.091,PowerTelemetry
01/01/1970 06:48,3.318,PowerTelemetry
01/01/1970 06:49,3.37,PowerTelemetry
01/01/1970 06:50,2.833,PowerTelemetry
01/01/1970 06:51,9.667,PowerTelemetry
01/01/1970 06:52,6.222,PowerTelemetry
01/01/1970 06:53,7.689,PowerTelemetry
01/01/1970 06:54,5.477,PowerTelemetry
01/01/1970 06:55,9.277,PowerTelemetry
01/01/1970 06:56,0.065,PowerTelemetry
01/01/1970 06:57,1.321,PowerTelemetry
01/01/1970 06:58,0.492,PowerTelemetry
01/01/1970 06:59,7.98,PowerTelemetry
01/01/1970 07:00,2.352,PowerTelemetry
01/01/1970 07:01,1.428,PowerTelemetry
01/01/1970 07:02,9.201,PowerTelemetry
01/01/1970 07:03,5.907,PowerTelemetry
01/01/1970 07:04,4.543,PowerTelemetry
01/01/1970 07:05,9.621,PowerTelemetry
01/01/1970 07:06,7.535,PowerTelemetry
01/01/1970 07:07,9.359,PowerTelemetry
01/01/1970 07:08,3.81,PowerTelemetry
01/01/1970 07:09,3.922,PowerTelemetry
01/01/1970 07:10,0.29,PowerTelemetry
01/01/1970 07:11,9.463,PowerTelemetry
01/01/1970 07:12,1.968,PowerTelemetry
01/01/1970 07:13,4.368,PowerTelemetry
01/01/1970 07:14,9.015,PowerTelemetry
01/01/1970 07:15,0.93,PowerTelemetry
01/01/1970 07:16,7.261,PowerTelemetry
01/01/1970 07:17,5.37,PowerTelemetry
01/01/1970 07:18,1.482,PowerTelemetry
01/01/1970 07:19,9.826,PowerTelemetry
01/01/1970 07:20,7.159,PowerTelemetry
01/01/1970 07:21,6.448,PowerTelemetry
01/01/1970 07:22,3.77,PowerTelemetry
01/01/1970 07:23,2.41,PowerTelemetry
01/01/1970 07:24,5.252,PowerTelemetry
01/01/1970 07:25,4.991,PowerTelemetry
01/01/1970 07:26,2.627,PowerTelemetry
01/01/1970 07:27,4.508,PowerTelemetry
01/01/1970 07:28,5.619,PowerTelemetry
01/01/1970 07:29,4.664,PowerTelemetry
01/01/1970 07:30,1.073,PowerTelemetry
01/01/1970 07:31,7.778,PowerTelemetry
01/01/1970 07:32,9.731,PowerTelemetry
01/01/1970 07:33,7.543,PowerTelemetry
01/01/1970 07:34,2.067,PowerTelemetry
01/01/1970 07:35,6.355,PowerTelemetry
01/01/1970 07:36,8.072,PowerTelemetry
01/01/1970 07:37,9.64,PowerTelemetry
01/01/1970 07:38,1.141,PowerTelemetry
01/01/1970 07:39,4.126,PowerTelemetry
01/01/1970 07:40,0.922,PowerTelemetry
01/01/1970 07:41,4.399,PowerTelemetry
01/01/1970 07:42,4.689,PowerTelemetry
01/01/1970 07:43,9.679,PowerTelemetry
01/01/1970 07:44,6.054,PowerTelemetry
01/01/1970 07:45,2.971,PowerTelemetry
01/01/1970 07:46,6.305,PowerTelemetry
01/01/1970 07:47,7.908,PowerTelemetry
01/01/1970 07:48,9.093,PowerTelemetry
01/01/1970 07:49,2.925,PowerTelemetry
01/01/1970 07:50,3.301,PowerTelemetry
01/01/1970 07:51,1.091,PowerTelemetry
01/01/1970 07:52,3.713,PowerTelemetry
01/01/1970 07:53,7.046,PowerTelemetry
01/01/1970 07:54,3.128,PowerTelemetry
01/01/1970 07:55,7.604,PowerTelemetry
01/01/1970 07:56,5.932,PowerTelemetry
01/01/1970 07:57,1.106,PowerTelemetry
01/01/1970 07:58,7.633,PowerTelemetry
01/01/1970 07:59,7.151,PowerTelemetry
01/01/1970 08:00,4.629,PowerTelemetry
01/01/1970 08:01,7.103,PowerTelemetry
01/01/1970 08:02,9.841,PowerTelemetry
01/01/1970 08:03,4.697,PowerTelemetry
01/01/1970 08:04,1.377,PowerTelemetry
01/01/1970 08:05,7.627,PowerTelemetry
01/01/1970 08:06,6.983,PowerTelemetry
01/01/1970 08:07,7.305,PowerTelemetry
01/01/1970 08:08,4.283,PowerTelemetry
01/01/1970 08:09,5.194,PowerTelemetry
01/01/1970 08:10,3.001,PowerTelemetry
01/01/1970 08:11,3.606,PowerTelemetry
01/01/1970 08:12,4.764,PowerTelemetry
01/01/1970 08:13,9.834,PowerTelemetry
01/01/1970 08:14,8.866,PowerTelemetry
01/01/1970 08:15,2.044,PowerTelemetry
01/01/1970 08:16,8.047,PowerTelemetry
01/01/1970 08:17,2.688,PowerTelemetry
01/01/1970 08:18,9.337,PowerTelemetry
01/01/1970 08:19,3.224,PowerTelemetry
01/01/1970 08:20,0.41,PowerTelemetry
01/01/1970 08:21,7.282,PowerTelemetry
01/01/1970 08:22,2.377,PowerTelemetry
01/01/1970 08:23,1.891,PowerTelemetry
01/01/1970 08:24,3.061,PowerTelemetry
01/01/1970 08:25,0.087,PowerTelemetry
01/01/1970 08:26,3.955,PowerTelemetry
01/01/1970 08:27,8.593,PowerTelemetry
01/01/1970 08:28,7.436,PowerTelemetry
01/01/1970 08:29,2.155,PowerTelemetry
01/01/1970 08:30,1.492,PowerTelemetry
01/01/1970 08:31,1.784,PowerTelemetry
01/01/1970 08:32,4.755,PowerTelemetry
01/01/1970 08:33,6.073,PowerTelemetry
01/01/1970 08:34,2.953,PowerTelemetry
01/01/1970 08:35,3.824,PowerTelemetry
01/01/1970 08:36,1.852,PowerTelemetry
01/01/1970 08:37,9.254,PowerTelemetry
01/01/1970 08:38,6.11,PowerTelemetry
01/01/1970 08:39,7.338,PowerTelemetry
01/01/1970 08:40,0.969,PowerTelemetry
01/01/1970 08:41,4.123,PowerTelemetry
01/01/1970 08:42,8.686,PowerTelemetry
01/01/1970 08:43,6.944,PowerTelemetry
01/01/1970 08:44,1.171,PowerTelemetry
01/01/1970 08:45,8.076,PowerTelemetry
01/01/1970 08:46,9.704,PowerTelemetry
01/01/1970 08:47,8.427,PowerTelemetry
01/01/1970 08:48,8.34,PowerTelemetry
01/01/1970 08:49,3.696,PowerTelemetry
01/01/1970 08:50,4.155,PowerTelemetry
01/01/1970 08:51,5.871,PowerTelemetry
01/01/1970 08:52,4.751,PowerTelemetry
01/01/1970 08:53,1.667,PowerTelemetry
01/01/1970 08:54,6.699,PowerTelemetry
01/01/1970 08:55,3.642,PowerTelemetry
01/01/1970 08:56,7.119,PowerTelemetry
01/01/1970 08:57,6.447,PowerTelemetry
01/01/1970 08:58,2.883,PowerTelemetry
01/01/1970 08:59,0.729,PowerTelemetry
01/01/1970 09:00,1.677,PowerTelemetry
01/01/1970 09:01,4.676,PowerTelemetry
01/01/1970 09:02,5.47,PowerTelemetry
01/01/1970 09:03,1.722,PowerTelemetry
01/01/1970 09:04,9.102,PowerTelemetry
01/01/1970 09:05,2.222,PowerTelemetry
01/01/1970 09:06,7.469,PowerTelemetry
01/01/1970 09:07,1.517,PowerTelemetry
01/01/1970 09:08,7.763,PowerTelemetry
01/01/1970 09:09,9.029,PowerTelemetry
01/01/1970 09:10,5.49,PowerTelemetry
01/01/1970 09:11,9.242,PowerTelemetry
01/01/1970 09:12,8.057,PowerTelemetry
01/01/1970 09:13,1.8,PowerTelemetry
01/01/1970 09:14,7.275,PowerTelemetry
01/01/1970 09:15,0.327,PowerTelemetry
01/01/1970 09:16,7.231,PowerTelemetry
01/01/1970 09:17,4.757,PowerTelemetry
01/01/1970 09:18,0.268,PowerTelemetry
01/01/1970 09:19,2.739,PowerTelemetry
01/01/1970 09:20,2.831,PowerTelemetry
01/01/1970 09:21,5.749,PowerTelemetry
01/01/1970 09:22,8.834,PowerTelemetry
01/01/1970 09:23,3.193,PowerTelemetry
01/01/1970 09:24,9.425,PowerTelemetry
01/01/1970 09:25,1.275,PowerTelemetry
01/01/1970 09:26,5.651,PowerTelemetry
01/01/1970 09:27,9.475,PowerTelemetry
01/01/1970 09:28,1.739,PowerTelemetry
01/01/1970 09:29,2.517,PowerTelemetry
01/01/1970 09:30,8.986,PowerTelemetry
01/01/1970 09:31,9.565,PowerTelemetry
01/01/1970 09:32,5.842,PowerTelemetry
01/01/1970 09:33,8.138,PowerTelemetry
01/01/1970 09:34,7.994,PowerTelemetry
01/01/1970 09:35,1.814,PowerTelemetry
01/01/1970 09:36,7.044,PowerTelemetry
01/01/1970 09:37,8.131,PowerTelemetry
01/01/1970 09:38,5.23,PowerTelemetry
01/01/1970 09:39,0.447,PowerTelemetry
